Tensao,Derivada,Bateria
4.0005,0.00395,1
3.99725,0.0038125,1
3.994,0.0036875,1
3.99075,0.003575,1
3.987625,0.0035125,1
3.98475,0.0034,1
3.9815,0.003325,1
3.97875,0.003225,1
3.976,0.003125,1
3.97325,0.003075,1
3.970375,0.0030125,1
3.967875,0.0029375,1
3.965125,0.0028875,1
3.96275,0.0028,1
3.960125,0.00275,1
3.9575,0.002725,1
3.955375,0.0026125,1
3.952875,0.0025875,1
3.950375,0.0025625,1
3.948,0.002525,1
3.94575,0.0024625,1
3.943625,0.002425,1
3.941,0.0024125,1
3.939125,0.0023625,1
3.93675,0.0023375,1
3.934625,0.0022875,1
3.9325,0.0022875,1
3.930375,0.00225,1
3.92825,0.0022125,1
3.926,0.0022,1
3.923875,0.0021875,1
3.92175,0.0021875,1
3.9195,0.00215,1
3.917625,0.00215,1
3.915375,0.0021375,1
3.9135,0.0021125,1
3.911625,0.0020875,1
3.909625,0.002075,1
3.9075,0.002075,1
3.905625,0.0020375,1
3.903375,0.00205,1
3.901625,0.0020125,1
3.899625,0.0019875,1
3.897875,0.001975,1
3.895875,0.00195,1
3.893875,0.0019625,1
3.892,0.0019625,1
3.889875,0.001975,1
3.887875,0.0019625,1
3.886125,0.00195,1
3.88425,0.0019125,1
3.882375,0.001925,1
3.88075,0.0018875,1
3.878875,0.0019,1
3.87675,0.0019125,1
3.874875,0.0019,1
3.873125,0.0018875,1
3.8715,0.0018375,1
3.8695,0.0018375,1
3.868,0.0018125,1
3.865875,0.0018375,1
3.86425,0.0018125,1
3.862625,0.0018125,1
3.86075,0.0018125,1
3.859,0.001775,1
3.857,0.0017875,1
3.855375,0.001775,1
3.8535,0.0018,1
3.851875,0.0017625,1
3.85,0.0018,1
3.848625,0.001725,1
3.84675,0.00175,1
3.845,0.0017625,1
3.843375,0.0017375,1
3.841875,0.0017125,1
3.84,0.0017,1
3.838125,0.001725,1
3.83625,0.001725,1
3.835,0.0016875,1
3.833125,0.0016875,1
3.831625,0.0017,1
3.829875,0.0016875,1
3.827875,0.0017125,1
3.826375,0.0017,1
3.824625,0.001725,1
3.823,0.0017,1
3.821375,0.001675,1
3.8195,0.001675,1
3.818,0.0017,1
3.81625,0.0016875,1
3.81475,0.0016875,1
3.81275,0.0017125,1
3.811375,0.00165,1
3.809625,0.001675,1
3.808,0.0016625,1
3.806375,0.0016625,1
3.804875,0.00165,1
3.803125,0.0016375,1
3.8015,0.00165,1
3.79975,0.00165,1
3.798125,0.0016625,1
3.79675,0.0016,1
3.794875,0.00165,1
3.793125,0.00165,1
3.79175,0.001625,1
3.79025,0.0016125,1
3.7885,0.0016375,1
3.78675,0.0016375,1
3.785,0.00165,1
3.7835,0.001625,1
3.782,0.0016125,1
3.780375,0.0016375,1
3.77875,0.0016125,1
3.77725,0.0015875,1
3.77575,0.0016,1
3.77375,0.00165,1
3.7725,0.0016,1
3.77075,0.0016,1
3.76925,0.001575,1
3.767375,0.0016125,1
3.765875,0.0016125,1
3.76425,0.0016125,1
3.762625,0.0016125,1
3.761375,0.0015875,1
3.7595,0.001625,1
3.758125,0.0015625,1
3.75625,0.001625,1
3.754875,0.0015875,1
3.753375,0.0015875,1
3.7515,0.0015875,1
3.750375,0.00155,1
3.748625,0.0015625,1
3.747,0.0015625,1
3.7455,0.0015875,1
3.743875,0.0015625,1
3.74225,0.0015875,1
3.74075,0.00155,1
3.73925,0.0015625,1
3.737875,0.00155,1
3.736125,0.0015375,1
3.734625,0.001575,1
3.732875,0.001575,1
3.731375,0.0015625,1
3.73,0.00155,1
3.728375,0.00155,1
3.72675,0.00155,1
3.72525,0.00155,1
3.723625,0.0015625,1
3.72225,0.0015625,1
3.72075,0.0015375,1
3.71925,0.0015375,1
3.717875,0.0015,1
3.716,0.0015375,1
3.714625,0.0015375,1
3.713125,0.001525,1
3.711625,0.0015125,1
3.71025,0.0015,1
3.708875,0.001475,1
3.707,0.001525,1
3.70575,0.0015,1
3.70425,0.0015,1
3.702625,0.001525,1
3.70125,0.001475,1
3.699625,0.0015,1
3.69825,0.0014875,1
3.69675,0.0014875,1
3.695375,0.0014875,1
3.693875,0.0015,1
3.692375,0.0014625,1
3.690875,0.0014875,1
3.689625,0.0014625,1
3.687875,0.001475,1
3.6865,0.001475,1
3.685,0.0014625,1
3.6835,0.001475,1
3.682125,0.0014625,1
3.680875,0.00145,1
3.6795,0.0014375,1
3.678,0.0014375,1
3.6765,0.0014375,1
3.67525,0.0014375,1
3.67375,0.0014125,1
3.672625,0.0013875,1
3.671,0.0014,1
3.66975,0.001375,1
3.66825,0.0013875,1
3.667,0.0013875,1
3.665375,0.0014125,1
3.66425,0.001375,1
3.66275,0.001375,1
3.6615,0.001375,1
3.66,0.001375,1
3.658875,0.001375,1
3.657375,0.0013625,1
3.656125,0.0013625,1
3.654625,0.0013625,1
3.6535,0.00135,1
3.652,0.0013375,1
3.650625,0.0013625,1
3.649375,0.0013375,1
3.647875,0.0013625,1
3.647,0.0013,1
3.645375,0.00135,1
3.644125,0.001325,1
3.64275,0.0013375,1
3.641375,0.001325,1
3.64,0.00135,1
3.6385,0.00135,1
3.637125,0.00135,1
3.636125,0.001325,1
3.634375,0.00135,1
3.633125,0.0013875,1
3.63175,0.0013625,1
3.6305,0.0013625,1
3.629,0.001375,1
3.628,0.0013375,1
3.6265,0.00135,1
3.625,0.00135,1
3.62375,0.0013375,1
3.622125,0.0014,1
3.621,0.0013375,1
3.6195,0.0013625,1
3.61825,0.00135,1
3.617,0.00135,1
3.61525,0.001375,1
3.614375,0.0013625,1
3.61275,0.001375,1
3.611625,0.0013375,1
3.61,0.001375,1
3.608625,0.00135,1
3.607375,0.0013625,1
3.606125,0.0013375,1
3.6045,0.001375,1
3.603375,0.0013625,1
3.60225,0.0013,1
3.601125,0.001325,1
3.5995,0.001325,1
3.598375,0.001325,1
3.596875,0.0013125,1
3.595625,0.0013,1
3.59425,0.0013125,1
3.593125,0.0013,1
3.59175,0.001275,1
3.590625,0.001275,1
3.589125,0.0013125,1
3.587875,0.001325,1
3.58725,0.001225,1
3.585875,0.00125,1
3.58425,0.0012625,1
3.583125,0.00125,1
3.582,0.001225,1
3.58075,0.0012375,1
3.579375,0.0012375,1
3.578375,0.001225,1
3.577125,0.0012,1
3.576,0.0011875,1
3.57475,0.00125,1
3.5735,0.0012375,1
3.572625,0.0011625,1
3.5715,0.0011625,1
3.570125,0.0011875,1
3.56875,0.0012,1
3.56825,0.0011125,1
3.567,0.0011375,1
3.56575,0.0011375,1
3.564625,0.0011375,1
3.563625,0.0011125,1
3.56275,0.001075,1
3.561625,0.0011,1
3.560625,0.0010875,1
3.559625,0.00105,1
3.5585,0.001025,1
3.55775,0.00105,1
3.55675,0.001025,1
3.555875,0.0009875,1
3.554875,0.000975,1
3.554,0.0009625,1
3.553,0.000975,1
3.551875,0.000975,1
3.550875,0.000975,1
3.550125,0.00095,1
3.549125,0.0009375,1
3.548,0.000975,1
3.547375,0.0009375,1
3.546375,0.00095,1
3.54575,0.0009125,1
3.544875,0.0009125,1
3.543875,0.0009125,1
3.543,0.0008875,1
3.542125,0.000875,1
3.541375,0.000875,1
3.5405,0.0008625,1
3.539625,0.0008375,1
3.538875,0.00085,1
3.53825,0.0008125,1
3.53725,0.00085,1
3.536625,0.000825,1
3.536,0.0007875,1
3.535,0.0008,1
3.53425,0.0007875,1
3.5335,0.0007875,1
3.532875,0.0007625,1
3.531625,0.0008,1
3.531125,0.000775,1
3.5305,0.000775,1
3.52975,0.00075,1
3.52925,0.0007375,1
3.5285,0.00075,1
3.5275,0.00075,1
3.527,0.000725,1
3.52625,0.000725,1
3.525375,0.00075,1
3.5245,0.0007125,1
3.524,0.0007125,1
3.523125,0.0007375,1
3.522875,0.0006875,1
3.52175,0.00075,1
3.52125,0.000725,1
3.520375,0.0007125,1
3.52,0.0007,1
3.519375,0.0006875,1
3.518625,0.000675,1
3.518,0.00065,1
3.5175,0.00065,1
3.516625,0.00065,1
3.51625,0.0006625,1
3.515625,0.0006125,1
3.514875,0.0006375,1
3.51425,0.0006125,1
3.51375,0.000625,1
3.513125,0.000625,1
3.512625,0.0006,1
3.51175,0.000625,1
3.511125,0.0006375,1
3.51075,0.0005875,1
3.509625,0.0006625,1
3.5095,0.0006125,1
3.50875,0.0006125,1
3.508125,0.0006125,1
3.50775,0.0006,1
3.50675,0.0006375,1
3.5065,0.0006125,1
3.50575,0.0006,1
3.505375,0.000575,1
3.50475,0.0006,1
3.504125,0.00055,1
3.503625,0.0005875,1
3.50325,0.00055,1
3.50225,0.0005875,1
3.502,0.000575,1
3.50125,0.00055,1
3.500875,0.0005625,1
3.50025,0.00055,1
3.499625,0.000575,1
3.499,0.000575,1
3.4985,0.0005625,1
3.498,0.0005625,1
3.497625,0.0005625,1
3.497,0.000525,1
3.496375,0.0005625,1
3.495875,0.0005375,1
3.495375,0.00055,1
3.494625,0.0005625,1
3.494125,0.00055,1
3.4935,0.00055,1
3.49325,0.000525,1
3.492625,0.0005375,1
3.492,0.0005625,1
3.49175,0.000525,1
3.490875,0.00055,1
3.490625,0.000525,1
3.489875,0.00055,1
3.4895,0.0005125,1
3.488875,0.000525,1
3.488375,0.0005125,1
3.4875,0.000575,1
3.48725,0.0005375,1
3.48675,0.000525,1
3.486375,0.0005375,1
3.485625,0.000525,1
3.48525,0.0005375,1
3.48475,0.0005125,1
3.484125,0.0005375,1
3.4835,0.0005375,1
3.482625,0.000575,1
3.48225,0.000525,1
3.482,0.000525,1
3.48125,0.00055,1
3.480625,0.000575,1
3.48025,0.0005375,1
3.479875,0.0005375,1
3.47925,0.00055,1
3.478875,0.000525,1
3.478125,0.0005375,1
3.4775,0.0005125,1
3.476875,0.0005375,1
3.476375,0.0005625,1
3.475875,0.0005375,1
3.475625,0.0005,1
3.47475,0.00055,1
3.4745,0.0005375,1
3.473625,0.0005625,1
3.473375,0.00055,1
3.472625,0.00055,1
3.47225,0.000525,1
3.471625,0.000525,1
3.470875,0.00055,1
3.470375,0.00055,1
3.469875,0.000575,1
3.469375,0.0005375,1
3.469125,0.0005375,1
3.46825,0.0005375,1
3.46775,0.0005625,1
3.466875,0.000575,1
3.4665,0.000575,1
3.466,0.0005625,1
3.465625,0.000525,1
3.46475,0.0005625,1
3.4645,0.0005375,1
3.463875,0.00055,1
3.463125,0.0006,1
3.46275,0.00055,1
3.462125,0.0005625,1
3.461375,0.00055,1
3.46075,0.000575,1
3.46025,0.000575,1
3.459625,0.0006,1
3.459125,0.0005625,1
3.45825,0.000625,1
3.457875,0.0006,1
3.457125,0.0006,1
3.456625,0.0006125,1
3.45625,0.0005875,1
3.455375,0.0006,1
3.454625,0.0006125,1
3.45425,0.0006,1
3.453125,0.00065,1
3.452875,0.000625,1
3.452,0.000625,1
3.451625,0.000625,1
3.450625,0.00065,1
3.450125,0.00065,1
3.44975,0.00065,1
3.448875,0.00065,1
3.448125,0.00065,1
3.447375,0.0006875,1
3.44675,0.0006375,1
3.4465,0.0006375,1
3.4455,0.00065,1
3.444875,0.000675,1
3.44425,0.0006375,1
3.443375,0.000675,1
3.442875,0.0006875,1
3.44175,0.0007125,1
3.44125,0.0006875,1
3.44075,0.0006625,1
3.43975,0.0007,1
3.439125,0.0007375,1
3.43825,0.000725,1
3.437375,0.00075,1
3.436875,0.0007375,1
3.43575,0.0007625,1
3.435125,0.000775,1
3.4345,0.000725,1
3.433625,0.0007625,1
3.432875,0.0007875,1
3.432,0.000775,1
3.43125,0.0007875,1
3.430625,0.0007625,1
3.42975,0.0007625,1
3.428875,0.0008,1
3.428375,0.0007375,1
3.427375,0.000775,1
3.426375,0.0008125,1
3.42575,0.0007875,1
3.425125,0.000775,1
3.424,0.0008,1
3.42325,0.0008,1
3.422125,0.00085,1
3.421375,0.0008375,1
3.4205,0.0008375,1
3.41975,0.0008625,1
3.41875,0.0008625,1
3.418125,0.000825,1
3.416875,0.0008875,1
3.416125,0.0009,1
3.41525,0.000875,1
3.41425,0.0009,1
3.413375,0.000875,1
3.41225,0.0009125,1
3.411375,0.0009125,1
3.4105,0.000925,1
3.4095,0.000925,1
3.4085,0.0009625,1
3.40775,0.0009125,1
3.406625,0.00095,1
3.40575,0.00095,1
3.404875,0.0009375,1
3.40425,0.0009125,1
3.402875,0.0009375,1
3.402,0.0009375,1
3.40075,0.000975,1
3.399875,0.0009625,1
3.398625,0.0009875,1
3.397625,0.0010125,1
3.3965,0.0010125,1
3.3955,0.001025,1
3.394625,0.001025,1
3.393125,0.0011125,1
3.392375,0.00105,1
3.39125,0.001075,1
3.39025,0.00105,1
3.389125,0.001075,1
3.387625,0.0011,1
3.387,0.0010625,1
3.385375,0.0011125,1
3.384625,0.0010875,1
3.38325,0.0011375,1
3.3825,0.0010625,1
3.381,0.0011375,1
3.379625,0.0011625,1
3.3785,0.001175,1
3.3775,0.0011625,1
3.376,0.0011625,1
3.375125,0.0011875,1
3.3735,0.0011875,1
3.372375,0.001225,1
3.371125,0.0012125,1
3.369375,0.0013125,1
3.3685,0.00125,1
3.367,0.0012625,1
3.366,0.00125,1
3.364625,0.0012875,1
3.362875,0.0013125,1
3.361875,0.001325,1
3.360625,0.0012875,1
3.35925,0.0013125,1
3.35775,0.0013375,1
3.35675,0.0012625,1
3.355375,0.0013125,1
3.35375,0.001325,1
3.35225,0.001375,1
3.351,0.0013625,1
3.34975,0.0013125,1
3.34825,0.0013625,1
3.34675,0.0013875,1
3.3455,0.001375,1
3.343875,0.0013875,1
3.342875,0.0013875,1
3.34125,0.0014125,1
3.34,0.001375,1
3.338375,0.0013875,1
3.336625,0.0014375,1
3.335375,0.0014375,1
3.333875,0.0014375,1
3.3325,0.001425,1
3.330875,0.0014625,1
3.328875,0.0015,1
3.3275,0.0015375,1
3.32575,0.00155,1
3.324125,0.0015875,1
3.32225,0.0016125,1
3.320625,0.0016,1
3.319,0.0016375,1
3.317375,0.00165,1
3.3155,0.0017,1
3.31375,0.0017125,1
3.311625,0.001725,1
3.30975,0.001775,1
3.308,0.001775,1
3.306,0.0018125,1
3.303875,0.0018375,1
3.30175,0.0018875,1
3.299875,0.0019125,1
3.297125,0.002025,1
3.29525,0.002025,1
3.292125,0.0021625,1
3.289375,0.002225,1
3.287125,0.0022625,1
3.284375,0.0023625,1
3.281625,0.0024375,1
3.278625,0.002525,1
3.2755,0.002625,1
3.272,0.0027875,1
3.26875,0.0028375,1
3.26475,0.00305,1
3.261375,0.003075,1
3.257,0.0032375,1
3.253,0.0034125,1
3.248875,0.00355,1
3.243625,0.0038,1
3.238875,0.003975,1
3.233875,0.0041625,1
3.227375,0.0044625,1
3.221125,0.0047625,1
3.215,0.004975,1
3.208375,0.0053,1
3.2005,0.00565,1
3.192375,0.0060625,1
3.183625,0.006525,1
3.174125,0.00695,1
3.163375,0.00755,1
3.152375,0.00815,1
3.14,0.0087375,1
3.126625,0.00945,1
3.112,0.0103,1
3.09675,0.0111625,1
